name,textbook,libretexts_url,role,linkedin_url
Suzanne Wakim,Human Biology,https://bio.libretexts.org/Bookshelves/Human_Biology/Human_Biology_%28Wakim_and_Grewal%29/00%3A_Front_Matter/06%3A_Authors,Author,https://www.linkedin.com/in/suzanne-wakim
Mandeep Grewal,Human Biology,https://bio.libretexts.org/Bookshelves/Human_Biology/Human_Biology_%28Wakim_and_Grewal%29/00%3A_Front_Matter/06%3A_Authors,Author,https://www.linkedin.com/in/mandeep-grewal-5ab024102
Kyle N. Crabtree,Physical Chemistry,https://chem.libretexts.org/Workbench/CHEM_110B%3A_Physical_Chemistry_-_Properties_of_Atoms_and_Molecules/00%3A_Front_Matter/05%3A_About_the_Authors,Author,https://www.linkedin.com/in/kncrabtree
Rajiv S. Jhangiani,Research Methods in Psychology,https://socialsci.libretexts.org/Bookshelves/Psychology/Research_Methods_in_Psychology/Front_Matter/Authors,Author,https://ca.linkedin.com/in/profjhangiani
Carrie Cuttler,Research Methods in Psychology,https://socialsci.libretexts.org/Bookshelves/Psychology/Research_Methods_in_Psychology/Front_Matter/Authors,Author,https://www.linkedin.com/in/carrie-cuttler-62299214
Abbey K. Elder,The OER Starter Kit for Program Managers,https://socialsci.libretexts.org/Bookshelves/Open_Education/The_OER_Starter_Kit_for_Program_Managers_%28Elder_et_al.%29/00%3A_Front_Matter/05%3A_About_the_Authors,Author,https://www.linkedin.com/in/abbey-k-elder
Jeff Gallant,The OER Starter Kit for Program Managers,https://socialsci.libretexts.org/Bookshelves/Open_Education/The_OER_Starter_Kit_for_Program_Managers_%28Elder_et_al.%29/00%3A_Front_Matter/05%3A_About_the_Authors,Author,https://www.linkedin.com/in/jeffwgallant
Apurva Ashok,The OER Starter Kit for Program Managers,https://socialsci.libretexts.org/Bookshelves/Open_Education/The_OER_Starter_Kit_for_Program_Managers_%28Elder_et_al.%29/00%3A_Front_Matter/05%3A_About_the_Authors,Author,https://ca.linkedin.com/in/apurvaashok
Anna Mills,How Arguments Work,https://human.libretexts.org/Bookshelves/Composition/Advanced_Composition/How_Arguments_Work_-_A_Guide_to_Writing_and_Analyzing_Texts_in_College_%28Mills%29/00%3A_Front_Matter/04%3A_About_the_Authors_and_Editors,Lead Author,https://www.linkedin.com/in/anna-mills-oer
Matt Crosslin,Creating Online Learning Experiences,https://socialsci.libretexts.org/Bookshelves/Education_and_Professional_Development/Creating_Online_Learning_Experiences_%28Crosslin%29/00%3A_Front_Matter,Lead Author,https://www.linkedin.com/in/mattcrosslin
Peggy Semingson,Creating Online Learning Experiences,https://socialsci.libretexts.org/Bookshelves/Education_and_Professional_Development/Creating_Online_Learning_Experiences_%28Crosslin%29/00%3A_Front_Matter,Contributing Author,https://www.linkedin.com/in/peggy-semingson-73a65610
George J. Siedel,Legal Aspects of Commercial Transactions,https://biz.libretexts.org/Bookshelves/Civil_Law/Legal_Aspects_of_Commercial_Transactions/00%3A_Front_Matter/About_the_Authors,Author,https://www.linkedin.com/in/george-siedel-25103410
Jason S. Wrench,Interpersonal Communication - A Mindful Approach to Relationships,https://socialsci.libretexts.org/Bookshelves/Communication/Book%3A_Interpersonal_Communication_-_A_Mindful_Approach_to_Relationships_%28Wrench_et_al.%29/00%3A_Front_Matter/05%3A_About_the_Authors,Author,https://www.linkedin.com/in/jasonswrench
Narissra M. Punyanunt-Carter,Interpersonal Communication - A Mindful Approach to Relationships,https://socialsci.libretexts.org/Bookshelves/Communication/Book%3A_Interpersonal_Communication_-_A_Mindful_Approach_to_Relationships_%28Wrench_et_al.%29/00%3A_Front_Matter/05%3A_About_the_Authors,Author,https://www.linkedin.com/in/narissra-m-punyanunt-carter-6a2098149
Katherine S. Thweatt,Interpersonal Communication - A Mindful Approach to Relationships,https://socialsci.libretexts.org/Bookshelves/Communication/Book%3A_Interpersonal_Communication_-_A_Mindful_Approach_to_Relationships_%28Wrench_et_al.%29/00%3A_Front_Matter/05%3A_About_the_Authors,Author,https://www.linkedin.com/in/katherine-thweatt-05150811
Stefanie Buck,The OER Starter Kit for Program Managers,https://socialsci.libretexts.org/Bookshelves/Open_Education/The_OER_Starter_Kit_for_Program_Managers_%28Elder_et_al.%29/00%3A_Front_Matter/05%3A_About_the_Authors,Author,https://www.linkedin.com/in/stefanie-buck-410b411b6
Erika Dyquisto,"Writing, Reading, and College Success: A First-Year Composition Course for All Learners",https://human.libretexts.org/Courses/City_College_of_San_Francisco/Writing_Reading_and_College_Success%3A_A_First-Year_Composition_Course_for_All_Learners_%28Kashyap_and_Dyquisto%29/00%3A_Front_Matter/04%3A_About_the_Authors,Author,https://www.linkedin.com/in/erikadyquisto
Hilary Altman,Interpersonal Communication: Context and Connection,https://socialsci.libretexts.org/Bookshelves/Communication/Interpersonal_Communication/Interpersonal_Communication%3A_Context_and_Connection-OERI/00%3A_Front_Matter/05%3A_About_the_Authors,Author,https://www.linkedin.com/in/hilary-altman-bb1a1558
Armeda C. Reitzel,Interpersonal Communication: Context and Connection,https://socialsci.libretexts.org/Bookshelves/Communication/Interpersonal_Communication/Interpersonal_Communication%3A_Context_and_Connection-OERI/00%3A_Front_Matter/05%3A_About_the_Authors,Author,https://www.linkedin.com/in/armeda-reitzel
Daniel Usera,Communicating to Connect - Interpersonal Communication for Today,https://socialsci.libretexts.org/Bookshelves/Communication/Introduction_to_Communication/Communicating_to_Connect_-_Interpersonal_Communication_for_Today_%28Usera%29/00%3A_Front_Matter/04%3A_About_the_Authors,Lead Author,https://www.linkedin.com/in/dusera
Shannon DeBord,Communicating to Connect - Interpersonal Communication for Today,https://socialsci.libretexts.org/Bookshelves/Communication/Introduction_to_Communication/Communicating_to_Connect_-_Interpersonal_Communication_for_Today_%28Usera%29/00%3A_Front_Matter/04%3A_About_the_Authors,Contributing Author,https://www.linkedin.com/in/shannon-debord-66477237
Riki Nanno,All Are Welcome: An Introduction to the Hospitality Industry,https://workforce.libretexts.org/Bookshelves/Hospitality/All_Are_Welcome%3A_An_Introduction_to_the_Hospitality_Industry/14%3A_About_the_Authors/16.23%3A_Riki_Nanno,Contributing Author,https://www.linkedin.com/in/riki-nanno-cfsp-i-fe3-91141746
