Book Name,Concept Count,URL
AI Assisted Geometry,200,https://dmccreary.github.io/geometry-course/
AI Based Data Science with Python,300,https://dmccreary.github.io/data-science-course/
AI Interactive Infographics,350,https://dmccreary.github.io/infographics/
Algebra I,200,https://dmccreary.github.io/algebra-1/
Ancient History,297,https://dmccreary.github.io/ancient-history/
AP Statistics,300,https://dmccreary.github.io/statistics-course/
ASL Book,200,https://Olufsonc-hub.github.io/asl-book/
Automating Instructional Design,200,https://dmccreary.github.io/automating-instructional-design/
Bioinformatics,480,https://dmccreary.github.io/bioinformatics/
Biology,380,https://dmccreary.github.io/biology/
Blockchain - The Skeptic's Guide,200,https://dmccreary.github.io/blockchain/
Calculus,380,https://dmccreary.github.io/calculus/
Circuits 1,300,https://dmccreary.github.io/circuits/
Claude Skills for Intelligent Textbooks,200,https://dmccreary.github.io/claude-skills/
Computer Science,400,https://dmccreary.github.io/computer-science/
Control Systems,300,https://dmccreary.github.io/control-systems
Conversational AI,200,https://dmccreary.github.io/conversational-ai/
Cybersecurity,390,https://dmccreary.github.io/cybersecurity/
Digital Citizenship,265,https://dmccreary.github.io/digital-citizenship/
Digital Electronics,300,https://dmccreary.github.io/digital-electronics
Ecology,380,https://dmccreary.github.io/ecology/
Ethics in Modern Society,250,https://dmccreary.github.io/ethics-course/
FFT Benchmarking,200,https://dmccreary.github.io/fft-benchmarking/
Genetics,350,https://dmccreary.github.io/genetics/
Graph Data Modeling,259,https://dmccreary.github.io/graph-data-modeling-course/
IB Mathematics Functions,208,https://dmccreary.github.io/functions/
Information Systems,580,https://dmccreary.github.io/information-systems/
Intelligent Textbook - Digital System Design,410,
Introduction to Economics,206,https://dmccreary.github.io/economics-course/
Introduction to Graph Databases,200,https://dmccreary.github.io/intro-to-graph/
Introduction to Physics,200,https://dmccreary.github.io/intro-to-physics-course/
Investor Relations Textbook,298,
IT Management with Graphs,200,https://dmccreary.github.io/it-management-graph/
Learning Linux,550,https://dmccreary.github.io/learning-linux/
Learning Sciences,221,https://dmccreary.github.io/learning-sciences/
Linear Algebra,300,https://dmccreary.github.io/linear-algebra/
Micro Simulations for Education,240,https://dmccreary.github.io/microsims
MicroSim Search and Similarity,200,https://dmccreary.github.io/search-microsims/
Modeling Healthcare Data with Graphs,210,https://dmccreary.github.io/modeling-healthcare-data/
Moss,400,https://dmccreary.github.io/moss/
Networking and Communication,338,https://dmccreary.github.io/networking/
Organizational Analytics,200,https://dmccreary.github.io/organizational-analytics/
Personal Finance with AI,200,https://dmccreary.github.io/personal-finance/
Pre-Calculus,307,https://dmccreary.github.io/pre-calc/
Quantum Computing,241,https://dmccreary.github.io/quantum-computing/
Reading for Kindergarten,195,https://dmccreary.github.io/reading-for-kindergarten/
SEIS 666,200,https://yarmoluk.github.io/Digital-Transformation-with-AI-Spring-2026/
Signal Processing with AI,200,https://dmccreary.github.io/signal-processing/
Theory of Knowledge,275,https://dmccreary.github.io/theory-of-knowledge/
Token Efficiency,475,https://dmccreary.github.io/token-efficiency/
Tracking AI Course,250,https://dmccreary.github.io/tracking-ai-course/
Understanding Dementia,200,https://rtanler.github.io/Dementia/
Unicorns and Other Mythical Beasts,140,https://dmccreary.github.io/unicorns/
US Geography,200,https://dmccreary.github.io/us-geography/
xAPI for Intelligent Textbooks,250,https://dmccreary.github.io/xapi-course/
